X;Y;osm_id;type;name;operator;wheelchair;access;opening_hours;fee;supervised;for_everyone;for_child;for_women;for_men;drinking_water;toilets_disposal;toilets_position;paper_supplied;handwashing;changing_table;com_insee;com_nom
-1.0766463;44.4943805005086;node/5096295635;toilettes_publiques;;;no;yes;Apr-Oct;;;yes;;;;;flush;;;;;"40287";Sanguinet
-1.1943417;43.1651660005399;node/5104131245;toilettes_publiques;;;;yes;;no;;;;;;;;;;;;"64484";Saint-Jean-le-Vieux
1.775718;45.2735537004398;node/5105441335;toilettes_publiques;;;;;;;;;;;;;;;;;;"19272";Tulle
-0.6151761;44.8514477004818;node/510722557;toilettes_publiques;;;yes;;;no;;;;;;;;;;;;"33063";Bordeaux
-0.5998433;44.8524132004817;node/510722570;toilettes_publiques;;;yes;;;no;;;;;;;;"seated;urinal";;;;"33063";Bordeaux
-0.080469;46.343762200286;node/5112506805;toilettes_publiques;;;no;;;no;;;;;;;;;;;;"79115";Exoudun
1.9682801;45.8470898003655;node/5113009238;toilettes_publiques;;;no;;;no;;;;;;;;;;;;"23212";Saint-Marc-à-Loubaud
-1.599142;43.432509500542;node/5113068322;toilettes_publiques;;Mairie de Bidart;yes;yes;;no;;yes;;;;;flush;;;yes;no;"64125";Bidart
-0.5676348;44.7824927004875;node/5113524287;toilettes_publiques;;;;;;;;;;;;;;;;;;"33550";Villenave-d'Ornon
-0.9533234;45.898368500358;node/5114845822;toilettes_publiques;;Iglesia del pueblo;;;24/7;;;;;;;;;;;;;"17146";Échillais
2.3373575;45.3604022004299;node/5122973500;toilettes_publiques;;;;yes;;;;;;;;;;;;;;"19256";Sérandon
0.082376;47.0104012001591;node/5126017533;toilettes_publiques;;;no;yes;;;no;;;;;;flush;"squat;urinal";;yes;no;"86137";Loudun
-1.661025;43.3872818005419;node/5128770503;toilettes_publiques;;Ville de Saint-Jean-de-Luz;yes;yes;;no;;yes;;;;yes;;;;;no;"64483";Saint-Jean-de-Luz
-1.6596014;43.3874008005419;node/5128770508;toilettes_publiques;;Ville de Saint-Jean-de-Luz;no;yes;;no;;yes;;;;yes;;;;;no;"64483";Saint-Jean-de-Luz
-0.6953216;45.0988544004585;node/5129351396;toilettes_erp;La Rive Médocaine;;yes;;;;;;;;;;;;;;;"33220";Lamarque
2.3685935;45.8636203003631;node/5136181353;toilettes_publiques;;;no;;;no;;;;;;;;;;;no;"23069";Crocq
0.8880546;44.882974100479;node/5138133208;toilettes_publiques;;;;;;no;;;;;;;;;;;;"24240";Limeuil
-0.6256983;44.8109618004852;node/5141784348;toilettes_publiques;;;;;;;;;;;;;;;;;;"33318";Pessac
-1.1493829;45.1030110004581;node/5155807983;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33097";Carcans
-1.1484844;45.1025377004581;node/5155807984;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33097";Carcans
-1.1473578;45.1027516004581;node/5155807985;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33097";Carcans
-1.1467785;45.1018069004582;node/5155807986;toilettes_publiques;;;;customers;;;;;;;;;;;;;;"33097";Carcans
-0.44426;43.5120168005418;node/5156782346;toilettes_publiques;;;;;;;;;;;;;;;;;;"64355";Louvigny
-0.5033991;43.4790626005419;node/5156789471;toilettes_publiques;;;;;;;;;;;;;;;;;;"64548";Uzan
-0.4930891;45.1890180004491;node/5162610525;toilettes_erp;Flunch;;designated;;;;;;;;;;;;;;;"33502";Saugon
-1.4894266;43.5229273005418;node/5169468734;toilettes_publiques;;;;;;;;;;;;;;;;;;"64140";Boucau
0.9869529;45.6610043003918;node/5174934333;toilettes_erp;Total Contact;;;;24/7;;;;;;;;;;;;;"87032";Châlus
0.8693938;45.3443201004317;node/5174934341;toilettes_erp;Elan;;;;;;;;;;;;;;;;;"24308";Négrondes
0.6532812;45.3644579004294;node/5174934342;toilettes_erp;Total Access;;;;;;;;;;;;;;;;;"24064";Brantôme en Périgord
0.386132;45.7457135003801;node/5174956763;toilettes_erp;Total Relais Angoulême Rubempré;;;;24/7;;;;;;;;;;;;;"16281";La Rochefoucauld-en-Angoumois
0.0918017;45.6652843003912;node/5174956765;toilettes_erp;Avia;;;;;;;;;;;;;;;;;"16138";Fléac
0.084486;45.6553334003926;node/5174956766;toilettes_erp;Intermarché;;;;24/7;;;;;;;;;;;;;"16187";Linars
-0.5649165;44.8551490004814;node/5178050538;toilettes_erp;Finger Food;;designated;customers;Mo-Sa 08:00-18:15;;;;;;;;;;;;;"33063";Bordeaux
0.4781656;44.3404313005177;node/5181850470;toilettes_publiques;;Mairie;;;;no;;;;;;;;;;;no;"47276";Saint-Sardos
-1.5518199;43.466836700542;node/5191229122;toilettes_publiques;;;;;;;;;;;;;;;;;;"64122";Biarritz
1.2606228;45.8276755003684;node/5198301905;toilettes_publiques;;;yes;yes;;"0.2";;;;;;;flush;seated;;;;"87085";Limoges
0.6597798;44.3595256005167;node/5211049027;toilettes_publiques;;;;;;no;;;;;;;flush;;;;;"47237";Sainte-Colombe-de-Villeneuve
-0.5705993;44.8467199004821;node/5213185021;toilettes_publiques;;;;;;;;;;;;;;;;;;"33063";Bordeaux
0.3721903;46.5746744002445;node/522090148;toilettes_publiques;;;yes;;;no;;;;yes;yes;;;;;;;"86194";Poitiers
-0.6311079;44.8033747004858;node/5221429179;toilettes_publiques;;;;permissive;;no;;;;;yes;yes;flush;"outside;urinal";;;no;"33318";Pessac
0.3444116;45.2469065004428;node/5229914189;toilettes_publiques;;;no;yes;;no;;;;;;yes;flush;seated;;;;"24352";Ribérac
-0.7473328;43.5929994005413;node/5236478921;toilettes_publiques;;;;;;;;;;;;;;;;;;"40002";Amou
-0.7483559;43.5923159005413;node/5236526621;toilettes_publiques;;;;;;;;;;;;;;;;;;"40002";Amou
-0.0427264;44.8523517004817;node/5242410527;toilettes_publiques;;;limited;yes;;;;yes;;;;;flush;;;;;"33108";Castillon-la-Bataille
0.3321605;44.836450300483;node/5242836022;toilettes_publiques;;;;;;;;;;;;;;;;;;"24194";Gardonne
0.7022865;44.8295668004836;node/5244173421;toilettes_publiques;;;;;;;;;;;;;;;;;;"24143";Couze-et-Saint-Front
0.7914324;44.8433157004824;node/5244274523;toilettes_publiques;;;;;;;;;;;;;;;;;;"24022";Badefols-sur-Dordogne
1.1648187;44.8339292004833;node/5245592924;toilettes_publiques;;;;;;;;;;;;;;;;;;"24577";Vézac
-1.2081487;44.607016900501;node/5257789043;toilettes_publiques;;;;yes;;no;;no;;;;;;;;;;"33529";La Teste-de-Buch
0.0380882;44.5210968005068;node/5290303797;toilettes_publiques;;;;;;;;;;;;;;;;;;"47165";Meilhan-sur-Garonne
0.617385;44.170888600526;node/5291804921;toilettes_publiques;;;;;;;;;;;;no;;;;;;"47031";Boé
-1.0537317;43.7228767005396;node/5295752281;toilettes_publiques;;Mairie de Saint-Paul-lès-Dax;yes;yes;24/7;no;no;yes;;;;;;;;;;"40279";Saint-Paul-lès-Dax
-1.0496195;43.7204252005397;node/5297865329;toilettes_publiques;;;;;;;;;;;;;;;;;;"40088";Dax
1.321959;45.8133030003705;node/5314539234;toilettes_erp;Station U;;;;24/7;;;;;;;;;;;;;"87065";Feytiat
0.8818513;44.5899228005022;node/5318510563;toilettes_publiques;;;;;;;;;;;;;;;;;;"47123";Lacapelle-Biron
0.8885407;44.5601362005042;node/5318510564;toilettes_publiques;;;;;;;;;;;;;;;;;;"47109";Gavaudun
1.303378;45.1277326004556;node/5320023723;toilettes_publiques;;;no;;;yes;;;;;;;;;;;;"24547";Terrasson-Lavilledieu
1.1420448;44.8398062004827;node/5322907622;toilettes_publiques;;;yes;;;no;;;;;;yes;flush;;;;no;"24040";Beynac-et-Cazenac
0.9113983;44.8459144004822;node/5322911021;toilettes_erp;Total;Poilleux;;;24/7;;;;;;;;;;;;;"24068";Le Buisson-de-Cadouin
0.0100356;45.8940709003586;node/5324039527;toilettes_publiques;;;;yes;;no;;;;;;;;;;;;"16005";Aigre
-0.3781404;46.2965763002941;node/5330152386;toilettes_erp;Shell;;;;24/7;;;;;;;;;;;;;"79003";Aiffres
0.4935452;45.2595325004414;node/5341226658;toilettes_publiques;;;;;;;;;;;;;;;;;;"24286";Montagrier
0.0365378;44.8271841004838;node/5349904123;toilettes_publiques;;;;;;;;;;;;;;;;;;"33168";Flaujagues
-1.1270118;43.7201876005397;node/5355098128;toilettes_publiques;;Brico Dépôt;;customers;;no;;no;;yes;yes;;flush;;;;;"40179";Mées
0.1652442;45.0090209004674;node/5361068249;toilettes_publiques;;;yes;;;;;yes;;;;yes;;seated;;;;"24294";Montpon-Ménestérol
-0.6196922;44.765126600489;node/5363619417;toilettes_publiques;;;;;;no;;;;;;yes;;;;;;"33192";Gradignan
-0.5979126;45.6104610003986;node/5365833968;toilettes_erp;BP;BP;yes;;24/7;;;;;;;;;;;;;"17354";Saint-Léger
